review_id,date,year,month,review_text,rating,sentiment,spam_mentioned,country,app_version,helpful_count,review_length
REV0938,2019-01-06,2019,1,"Keeps showing wrong names for contacts, very frustrating Not worth the download.",2,Negative,No,Brazil,14.5,1,80
REV0324,2019-01-09,2019,1,Perfect solution for spam calls and unknown numbers Great job developers.,4,Positive,Yes,India,15.5,3,73
REV0254,2019-01-10,2019,1,Superb caller identification and spam protection features Keep up the good work.,5,Positive,Yes,Indonesia,14.5,0,80
REV0394,2019-01-12,2019,1,"Excellent spam detection feature, highly recommended Great job developers.",4,Positive,Yes,India,14.0,1,74
REV0999,2019-01-17,2019,1,"Worst update ever, completely ruined the user experience Dev team should address this.",2,Negative,No,India,14.5,2,86
REV0420,2019-01-22,2019,1,Too much data collection and privacy invasion issues Not worth the download.,2,Negative,Yes,India,15.0,3,76
REV0080,2019-02-01,2019,2,This app has made my phone experience so much better Keep up the good work.,5,Positive,No,USA,15.5,2,75
REV0147,2019-02-05,2019,2,"Worst update ever, completely ruined the user experience Not worth the download.",2,Negative,Yes,India,14.0,3,80
REV0060,2019-02-08,2019,2,Perfect solution for spam calls and unknown numbers Best decision to download this.,5,Positive,Yes,USA,15.5,2,83
REV0700,2019-02-09,2019,2,Too much data collection and privacy invasion issues Please fix this immediately.,1,Negative,Yes,India,14.5,2,81
REV0507,2019-02-09,2019,2,Superb caller identification and spam protection features Keep up the good work.,5,Positive,Yes,India,14.0,10,80
REV0528,2019-02-13,2019,2,This app has made my phone experience so much better Highly recommended!,5,Positive,No,India,15.5,0,72
REV0133,2019-02-15,2019,2,Outstanding performance and very accurate caller ID Best decision to download this.,5,Positive,No,Nigeria,15.5,2,83
REV0605,2019-02-19,2019,2,Brilliant app for managing calls and blocking telemarketers Keep up the good work.,4,Positive,Yes,Nigeria,15.5,2,82
REV0807,2019-03-15,2019,3,Very helpful app for identifying unknown callers and blocking spam Highly recommended!,5,Positive,Yes,India,15.5,9,86
REV0631,2019-03-17,2019,3,Perfect solution for spam calls and unknown numbers Highly recommended!,5,Positive,Yes,Brazil,15.5,0,71
REV0056,2019-04-04,2019,4,Perfect solution for spam calls and unknown numbers Will definitely recommend to friends.,5,Positive,Yes,India,13.0,0,89
REV0977,2019-04-05,2019,4,Truecaller is a must-have app for every smartphone user Best decision to download this.,4,Positive,Yes,USA,14.5,2,87
REV0049,2019-04-08,2019,4,This app has made my phone experience so much better Highly recommended!,5,Positive,Yes,India,15.5,1,72
REV0661,2019-04-16,2019,4,Very buggy app with constant notifications that annoy me Not worth the download.,1,Negative,No,USA,13.0,4,80
REV0251,2019-04-20,2019,4,Amazing app that saves time by filtering spam calls Will definitely recommend to friends.,5,Positive,Yes,India,14.5,1,89
REV0908,2019-04-21,2019,4,Perfect solution for spam calls and unknown numbers Great job developers.,5,Positive,Yes,India,14.5,2,73
REV0456,2019-04-24,2019,4,Too many ads and the premium version is very expensive Uninstalling this app now.,1,Negative,No,Indonesia,15.5,4,81
REV0913,2019-05-02,2019,5,Very helpful app for identifying unknown callers and blocking spam Best decision to download this.,5,Positive,Yes,India,14.5,3,98
REV0849,2019-05-06,2019,5,Battery draining app that makes phone run hot all the time Needs major improvements.,1,Negative,No,India,15.5,0,84
REV0077,2019-05-07,2019,5,Superb caller identification and spam protection features Keep up the good work.,5,Positive,Yes,India,13.5,3,80
REV0201,2019-05-08,2019,5,Battery draining app that makes phone run hot all the time Very disappointed.,1,Negative,No,India,14.5,4,77
REV0903,2019-05-09,2019,5,"Disappointed with quality, expected much better performance Very disappointed.",1,Negative,No,India,14.5,1,78
REV0184,2019-05-15,2019,5,Battery draining app that makes phone run hot all the time Please fix this immediately.,1,Negative,Yes,Indonesia,15.5,7,87
REV0517,2019-05-16,2019,5,App is fine but could use more features and better UI Not fully satisfied.,3,Neutral,Yes,India,13.5,4,74
REV0337,2019-05-20,2019,5,"Best caller ID app I have ever used, works perfectly Five stars from me.",5,Positive,No,USA,15.5,2,72
REV0957,2019-05-22,2019,5,Too much data collection and privacy invasion issues Not worth the download.,1,Negative,Yes,India,15.5,2,76
REV0425,2019-05-25,2019,5,This app has made my phone experience so much better Great job developers.,5,Positive,No,India,14.5,0,74
REV0993,2019-05-27,2019,5,App is very slow and takes too long to load caller info Uninstalling this app now.,2,Negative,No,USA,14.5,1,82
REV0452,2019-06-03,2019,6,"Best caller ID app I have ever used, works perfectly Great job developers.",4,Positive,No,India,15.5,2,74
REV0344,2019-06-05,2019,6,The app has become useless after the latest update Uninstalling this app now.,1,Negative,No,India,15.5,1,77
REV0833,2019-06-05,2019,6,Very helpful app for identifying unknown callers and blocking spam Keep up the good work.,5,Positive,Yes,Nigeria,13.5,1,89
REV0521,2019-06-13,2019,6,Great app for blocking unwanted calls and identifying callers Very satisfied with this app.,4,Positive,Yes,India,15.0,2,91
REV0268,2019-06-21,2019,6,Superb caller identification and spam protection features Will definitely recommend to friends.,5,Positive,Yes,India,13.5,4,95
REV0118,2019-07-03,2019,7,Truecaller is a must-have app for every smartphone user Keep up the good work.,4,Positive,No,Indonesia,14.5,4,78
REV0907,2019-07-07,2019,7,Love how it instantly identifies unknown numbers Five stars from me.,5,Positive,No,Brazil,14.5,0,68
REV0163,2019-07-09,2019,7,"Worst update ever, completely ruined the user experience Uninstalling this app now.",1,Negative,No,India,15.0,0,83
REV0173,2019-07-13,2019,7,Outstanding performance and very accurate caller ID Very satisfied with this app.,4,Positive,No,UK,14.5,3,81
REV0963,2019-07-16,2019,7,"Best caller ID app I have ever used, works perfectly Keep up the good work.",5,Positive,No,India,15.0,0,75
REV0121,2019-07-23,2019,7,"Mixed experience with this app, some features work well Just okay for now.",3,Neutral,Yes,UK,15.0,5,74
REV0375,2019-07-28,2019,7,Not bad but definitely not the best caller ID app out there Could be better.,3,Neutral,No,Brazil,15.0,0,76
REV0137,2019-08-02,2019,8,Too much data collection and privacy invasion issues Not worth the download.,1,Negative,No,India,15.5,0,76
REV0464,2019-08-09,2019,8,"Really useful app, cannot imagine using phone without it Great job developers.",4,Positive,Yes,Brazil,15.5,4,78
REV0991,2019-08-09,2019,8,Very helpful app for identifying unknown callers and blocking spam Very satisfied with this app.,4,Positive,Yes,Nigeria,15.5,1,96
REV0780,2019-08-09,2019,8,"Really useful app, cannot imagine using phone without it Highly recommended!",5,Positive,Yes,Indonesia,15.0,2,76
REV0549,2019-08-09,2019,8,Average app with some good features and some bad ones Might switch to another app.,3,Neutral,No,Nigeria,14.5,2,82
REV0012,2019-08-18,2019,8,Very helpful app for identifying unknown callers and blocking spam Very satisfied with this app.,5,Positive,Yes,Indonesia,15.5,0,96
REV0587,2019-08-21,2019,8,Amazing app that saves time by filtering spam calls Very satisfied with this app.,5,Positive,Yes,India,14.0,1,81
REV0611,2019-08-22,2019,8,Very helpful app for identifying unknown callers and blocking spam Great job developers.,5,Positive,Yes,India,15.0,1,88
REV0243,2019-08-23,2019,8,Works sometimes but not consistent enough for daily use Just okay for now.,3,Neutral,No,Indonesia,15.0,3,74
REV0427,2019-08-27,2019,8,Perfect solution for spam calls and unknown numbers Best decision to download this.,4,Positive,Yes,India,15.5,3,83
REV0063,2019-09-04,2019,9,"Best caller ID app I have ever used, works perfectly Will definitely recommend to friends.",5,Positive,Yes,India,15.5,0,90
REV0619,2019-09-05,2019,9,Fantastic app that works flawlessly without any issues Best decision to download this.,5,Positive,No,UK,15.0,2,86
REV0435,2019-09-05,2019,9,"Excellent spam detection feature, highly recommended Will definitely recommend to friends.",5,Positive,Yes,India,15.0,0,90
REV0453,2019-09-18,2019,9,Superb caller identification and spam protection features Great job developers.,5,Positive,Yes,India,15.0,10,79
REV0383,2019-09-21,2019,9,Amazing app that saves time by filtering spam calls Highly recommended!,5,Positive,Yes,India,14.0,0,71
REV0419,2019-09-27,2019,9,Spam calls still getting through despite having this app Dev team should address this.,2,Negative,Yes,Nigeria,14.5,2,86
REV0911,2019-10-17,2019,10,"Does not work properly on my device, keeps showing errors Uninstalling this app now.",1,Negative,Yes,India,14.0,2,84
REV0989,2019-10-20,2019,10,Very buggy app with constant notifications that annoy me Very disappointed.,2,Negative,No,India,14.0,13,75
REV0659,2019-10-24,2019,10,Wonderful app with great user interface and smooth performance Great job developers.,4,Positive,No,Brazil,15.5,0,84
REV0791,2019-11-05,2019,11,App is very slow and takes too long to load caller info Dev team should address this.,1,Negative,No,Indonesia,14.0,0,85
REV0079,2019-11-10,2019,11,Amazing app that saves time by filtering spam calls Very satisfied with this app.,5,Positive,Yes,Indonesia,13.0,6,81
REV0305,2019-11-12,2019,11,Very buggy app with constant notifications that annoy me Dev team should address this.,1,Negative,Yes,Indonesia,15.5,1,86
REV0579,2019-11-19,2019,11,"Keeps showing wrong names for contacts, very frustrating Please fix this immediately.",1,Negative,Yes,Brazil,15.0,3,85
REV0811,2019-11-21,2019,11,Too many ads and the premium version is very expensive Uninstalling this app now.,2,Negative,Yes,India,14.5,3,81
REV0006,2019-11-23,2019,11,Number lookup is wrong most of the time very inaccurate Needs major improvements.,1,Negative,No,Indonesia,15.5,4,81
REV0633,2019-11-27,2019,11,Terrible customer support and no response to complaints Dev team should address this.,2,Negative,Yes,USA,15.0,0,85
REV0017,2019-11-27,2019,11,"Excellent spam detection feature, highly recommended Will definitely recommend to friends.",5,Positive,Yes,India,13.0,3,90
REV0612,2019-12-01,2019,12,"Keeps showing wrong names for contacts, very frustrating Uninstalling this app now.",1,Negative,No,India,14.0,0,83
REV0455,2019-12-01,2019,12,Great app for blocking unwanted calls and identifying callers Keep up the good work.,5,Positive,No,India,14.0,1,84
REV0669,2019-12-05,2019,12,Number lookup is wrong most of the time very inaccurate Please fix this immediately.,1,Negative,Yes,India,15.0,0,84
REV0128,2019-12-06,2019,12,This app has made my phone experience so much better Best decision to download this.,5,Positive,No,USA,15.5,6,84
REV0315,2019-12-12,2019,12,"Excellent spam detection feature, highly recommended Highly recommended!",5,Positive,Yes,India,15.0,14,72
REV0329,2019-12-14,2019,12,Very helpful app for identifying unknown callers and blocking spam Five stars from me.,4,Positive,Yes,Brazil,14.0,2,86
REV0022,2019-12-18,2019,12,"Disappointed with quality, expected much better performance Needs major improvements.",2,Negative,Yes,India,14.5,0,85
REV0686,2019-12-19,2019,12,"Disappointed with quality, expected much better performance Dev team should address this.",1,Negative,No,India,15.0,1,89
REV0199,2019-12-19,2019,12,This app has made my phone experience so much better Keep up the good work.,5,Positive,No,USA,14.5,2,75
REV0888,2019-12-20,2019,12,"Really useful app, cannot imagine using phone without it Very satisfied with this app.",5,Positive,Yes,USA,13.5,0,86
REV0477,2019-12-22,2019,12,Great app for blocking unwanted calls and identifying callers Great job developers.,4,Positive,Yes,India,15.5,0,83
REV0422,2019-12-25,2019,12,Amazing app that saves time by filtering spam calls Five stars from me.,5,Positive,Yes,Indonesia,15.0,5,71
REV0582,2019-12-28,2019,12,This app has made my phone experience so much better Five stars from me.,4,Positive,No,India,13.5,2,72
REV0064,2020-01-03,2020,1,Spam calls still getting through despite having this app Dev team should address this.,1,Negative,Yes,UK,15.0,6,86
REV0646,2020-01-09,2020,1,"Really useful app, cannot imagine using phone without it Five stars from me.",4,Positive,No,Brazil,13.0,1,76
REV0593,2020-01-09,2020,1,"Disappointed with quality, expected much better performance Very disappointed.",1,Negative,No,USA,14.0,2,78
REV0622,2020-01-10,2020,1,Very helpful app for identifying unknown callers and blocking spam Best decision to download this.,4,Positive,Yes,USA,14.0,10,98
REV0958,2020-01-13,2020,1,Number lookup is wrong most of the time very inaccurate Please fix this immediately.,2,Negative,No,UK,15.0,11,84
REV0673,2020-01-17,2020,1,Love how it instantly identifies unknown numbers Highly recommended!,5,Positive,No,Indonesia,15.5,4,68
REV0005,2020-01-18,2020,1,Superb caller identification and spam protection features Great job developers.,5,Positive,Yes,India,15.0,0,79
REV0777,2020-01-25,2020,1,"Worst update ever, completely ruined the user experience Not worth the download.",1,Negative,No,UK,15.0,2,80
REV0151,2020-01-28,2020,1,Outstanding performance and very accurate caller ID Very satisfied with this app.,4,Positive,No,USA,14.5,6,81
REV0484,2020-02-01,2020,2,"Excellent spam detection feature, highly recommended Five stars from me.",4,Positive,Yes,Brazil,13.0,1,72
REV0923,2020-02-02,2020,2,"Does not work properly on my device, keeps showing errors Please fix this immediately.",2,Negative,Yes,India,13.5,6,86
REV0010,2020-02-03,2020,2,"Keeps showing wrong names for contacts, very frustrating Uninstalling this app now.",2,Negative,No,India,13.0,1,83
REV0702,2020-02-03,2020,2,"Worst update ever, completely ruined the user experience Uninstalling this app now.",1,Negative,Yes,India,13.5,2,83
REV0360,2020-02-05,2020,2,Fantastic app that works flawlessly without any issues Will definitely recommend to friends.,4,Positive,No,India,14.5,4,92
REV0494,2020-02-07,2020,2,Superb caller identification and spam protection features Five stars from me.,5,Positive,Yes,India,14.5,11,77
REV0757,2020-02-09,2020,2,Truecaller is a must-have app for every smartphone user Will definitely recommend to friends.,5,Positive,No,India,14.0,2,93
REV0035,2020-02-10,2020,2,The app has become useless after the latest update Uninstalling this app now.,1,Negative,No,USA,13.0,0,77
REV0944,2020-02-12,2020,2,Decent app but there are better alternatives available Not fully satisfied.,3,Neutral,Yes,India,15.5,2,75
